               tag               | count 
---------------------------------+-------
 #coronavirus                    |  8749
 #COVIDー19                      |  1543
 #COVID19                        |  1381
 #covid19                        |   497
 #StayAtHome                     |   261
 #COVID                          |   209
 #AprilFoolsDay                  |   207
 #StayHome                       |   204
 #cuarentena                     |   170
 #lockdown                       |   169
 #Covid_19                       |   168
 #stayhome                       |   166
 #QuedateEnCasa                  |   155
 #covid_19                       |   145
 #quarantine                     |   125
 #StayHomeSaveLives              |   116
 #corona                         |   109
 #covid                          |   104
 #pandemic                       |   102
 #Quarantine                     |    96
 #staysafe                       |    90
 #CoronaVirusUpdates             |    89
 #SocialDistancing               |    86
 #pandemia                       |    84
 #QuarantineLife                 |    80
 #socialdistancing               |    76
 #StaySafe                       |    71
 #China                          |    65
 #Covid19                        |    65
 #CoronavirusUSA                 |    64
 #Corona                         |    63
 #AprilFools                     |    62
 #WednesdayThoughts              |    62
 #confinement                    |    60
 #WednesdayWisdom                |    59
 #stayathome                     |    55
 #quedateencasa                  |    54
 #virus                          |    49
 #YoMeQuedoEnCasa                |    49
 #COVID19Pandemic                |    48
 #love                           |    48
 #CoronavirusOutbreak            |    47
 #CoronaVirusUpdate              |    46
 #Trump                          |    45
 #yomequedoencasa                |    43
 #iorestoacasa                   |    41
 #NHS                            |    41
 #COVID2019                      |    40
 #TheLockdown                    |    40
 #1April                         |    39
 #covıd19                        |    38
 #FelizMiercoles                 |    38
 #RestezChezVous                 |    37
 #WednesdayMotivation            |    37
 #IndiaFightsCorona              |    36
 #sakagibi                       |    36
 #Ecuador                        |    35
 #NizamuddinMarkaj               |    35
 #USA                            |    35
 #BienvenidoAbril                |    34
 #StayHomeStaySafe               |    34
 #CoronavirusPandemic            |    33
 #Coronavirustruth               |    33
 #news                           |    32
 #coronavirusuk                  |    31
 #photography                    |    31
 #1aprile                        |    29
 #coronavirusbrasil              |    29
 #TablighiJamaat                 |    29
 #TrumpVirus                     |    29
 #April2020                      |    28
 #carsamba                       |    28
 #Italia                         |    28
 #Covid_19SA                     |    27
 #Guayaquil                      |    27
 #quarentena                     |    27
 #Florida                        |    26
 #NYC                            |    26
 #QuedateEnCasaYa                |    26
 #CoronaUpdatesInIndia           |    25
 #music                          |    25
 #CoronaJihad                    |    24
 #Day6OfLockdown                 |    24
 #EvdeKal                        |    24
 #flattenthecurve                |    24
 #isolation                      |    24
 #Italy                          |    24
 #PPE                            |    24
 #covid19UK                      |    23
 #health                         |    23
 #CoronaLockdown                 |    22
 #FakeNews                       |    22
 #SelfIsolation                  |    22
 #April1st                       |    21
 #ChineseVirus                   |    21
 #CuarentenaNacional             |    21
 #EvdeHayatVar                   |    20
 #CoronaJihaad                   |    19
 #coronavirusindia               |    19
 #CoronavirusLockdown            |    19
 #coronaviruspandemic            |    19
 #fiqueemcasa                    |    19
 #help                           |    19
 #mentalhealth                   |    19
 #nyc                            |    19
 #tarunbharatnews                |    19
 #QuarantineAndChill             |    18
 #quarantinelife                 |    18
 #WednesdayVibes                 |    18
 #1Nisan                         |    17
 #coronapocolypse                |    17
 #CoronaUpdate                   |    17
 #COVID19italia                  |    17
 #fitness                        |    17
 #home                           |    17
 #Korona                         |    17
 #lockdownindia                  |    17
 #selfisolation                  |    17
 #viral                          |    17
 #washyourhands                  |    17
 #1Abril                         |    16
 #art                            |    16
 #confinamiento                  |    16
 #ConfinementJour16              |    16
 #JuntosNosCuidamos              |    16
 #stayhealthy                    |    16
 #tiktok                         |    16
 #TikTok                         |    16
 #auspol                         |    15
 #BuenMiercoles                  |    15
 #Canada                         |    15
 #coronaviruskenya               |    15
 #COVID19mx                      |    15
 #COVIDIOTS                      |    15
 #CuarentenaTotal                |    15
 #DAY6                           |    15
 #funny                          |    15
 #humor                          |    15
 #NizamuddinIdiots               |    15
 #quarantena                     |    15
 #SocialDistanacing              |    15
 #streetphotography              |    15
 #TablighiJamatVirus             |    15
 #vaka15679                      |    15
 #ventilators                    |    15
 #1Abr                           |    14
 #aprilfools                     |    14
 #BizTurkiyeyiz                  |    14
 #Cacerolazos                    |    14
 #CensusDay                      |    14
 #color                          |    14
 #CoronaAlert                    |    14
 #coronavirusturkey              |    14
 #COVID19Ecuador                 |    14
 #healthcare                     |    14
 #London                         |    14
 #selfquarantine                 |    14
 #SocialDistance                 |    14
 #travel                         |    14
 #TrumpPressConference           |    14
 #uk                             |    14
 #video                          |    14
 #كورونا                         |    14
 #ansia                          |    13
 #BizTuerkiyeyiz                 |    13
 #canapa                         |    13
 #cbd                            |    13
 #china                          |    13
 #ClimateChange                  |    13
 #ClimateCrisis                  |    13
 #clustertrump                   |    13
 #covid19impactke                |    13
 #Day5OfLockdown                 |    13
 #EmergenciaSanitaria            |    13
 #family                         |    13
 #fibromialgia                   |    13
 #FlattenTheCurve                |    13
 #hope                           |    13
 #igers                          |    13
 #India                          |    13
 #INPS                           |    13
 #insonnia                       |    13
 #instagood                      |    13
 #Isolation                      |    13
 #masks                          |    13
 #Milano                         |    13
 #negozio                        |    13
 #podcast                        |    13
 #Spain                          |    13
 #StayAtHomeAndStaySafe          |    13
 #stress                         |    13
 #tisana                         |    13
 #UK                             |    13
 #US                             |    13
 #VoteBlue2020                   |    13
 #600euro                        |    12
 #andratuttobene                 |    12
 #chile                          |    12
 #CoronaKoDhona                  |    12
 #Coronakrise                    |    12
 #coronapocalypse                |    12
 #CoronaTigerForce               |    12
 #dontrushchallenge              |    12
 #hospital                       |    12
 #india                          |    12
 #instagram                      |    12
 #ksleg                          |    12
 #naturale                       |    12
 #ottimo                         |    12
 #pescedaprile                   |    12
 #QuédateEnCasa                  |    12
 #QuedateEnTuCasa                |    12
 #rimedio                        |    12
 #Russia                         |    12
 #sativaction                    |    12
 #SaveKansas                     |    12
 #SNTEsalud                      |    12
 #TrumpGenocide                  |    12
 #usa                            |    12
 #Venezuela                      |    12
 #WashYourHands                  |    12
 #31marzo                        |    11
 #BREAKING                       |    11
 #canon                          |    11
 #ChinaVirus                     |    11
 #coronavírus                    |    11
 #CoronavirusEcuador             |    11
 #CoronavirusInSouthAfrica       |    11
 #CoronavirusOutbreakindia       |    11
 #COVID19tr                      |    11
 #ecuador                        |    11
 #ElPeorGobiernoDeLaHistoria     |    11
 #evdekal                        |    11
 #floridaunemployment            |    11
 #Heaven                         |    11
 #Hell                           |    11
 #IndiaFightsCornona             |    11
 #IsolationLife                  |    11
 #italia                         |    11
 #italy                          |    11
 #jogging                        |    11
 #Lockdown                       |    11
 #Lockdown21                     |    11
 #nature                         |    11
 #nhs                            |    11
 #world                          |    11
 #april                          |    10
 #aprilfoolsday                  |    10
 #Argentina                      |    10
 #besafe                         |    10
 #blijfthuis                     |    10
 #capitanamerica                 |    10
 #CoronaCrisis                   |    10
 #CoronavirusEnArgentina         |    10
 #coronavirusEspana              |    10
 #Coronavirusireland             |    10
 #COVID19au                      |    10
 #covid_19GR                     |    10
 #COVID19outbreak                |    10
 #Cuarentena                     |    10
 #education                      |    10
 #epilessia                      |    10
 #españa                         |    10
 #estadodealarma                 |    10
 #everydayperu                   |    10
 #FicaEmCasa                     |    10
 #France                         |    10
 #government                     |    10
 #HealthcareHeroes               |    10
 #heartlessups                   |    10
 #infancia                       |    10
 #italiana                       |    10
 #live                           |    10
 #mask                           |    10
 #meme                           |    10
 #memes                          |    10
 #meteor                         |    10
 #NewYork                        |    10
 #NHSheroes                      |    10
 #nyccoronavirus                 |    10
 #photooftheday                  |    10
 #photoperu                      |    10
 #quarentine                     |    10
 #Repost                         |    10
 #Resistire                      |    10
