 lang | count 
------+-------
 en   |  5107
 es   |  1273
 und  |   597
 it   |   307
 fr   |   280
 pt   |   268
 tr   |   236
 hi   |   125
 nl   |    94
 de   |    92
 in   |    54
 ar   |    43
 ca   |    42
 mr   |    39
 tl   |    31
 pl   |    14
 th   |    14
 ru   |    13
 ur   |    11
 ht   |     9
 ja   |     8
 et   |     7
 ta   |     7
 ro   |     6
 si   |     6
 sl   |     6
 da   |     5
 fa   |     5
 gu   |     5
 fi   |     4
 lt   |     4
 uk   |     4
 bn   |     3
 el   |     3
 eu   |     3
 kn   |     3
 ne   |     3
 or   |     3
 ps   |     3
 cy   |     2
 iw   |     2
 cs   |     1
 is   |     1
 ml   |     1
 sr   |     1
 sv   |     1
 te   |     1
 vi   |     1
 zh   |     1
(49 rows)

