                 tag                 | count 
-------------------------------------+-------
 #coronavirus                        |  5107
 #COVID19                            |  1223
 #COVIDー19                          |   969
 #Coronavirus                        |   797
 #CoronaVirus                        |   300
 #covid19                            |   291
 #StayAtHome                         |   239
 #StayHome                           |   198
 #AprilFoolsDay                      |   197
 #COVID                              |   155
 #lockdown                           |   146
 #stayhome                           |   133
 #StayHomeSaveLives                  |   115
 #Quarantine                         |   107
 #pandemic                           |   102
 #quarantine                         |   102
 #SocialDistancing                   |    98
 #StaySafe                           |    91
 #Covid19                            |    88
 #Covid_19                           |    77
 #CoronaVirusUpdates                 |    75
 #covid_19                           |    70
 #staysafe                           |    70
 #socialdistancing                   |    69
 #QuarantineLife                     |    67
 #corona                             |    64
 #WednesdayThoughts                  |    63
 #AprilFools                         |    62
 #China                              |    59
 #CoronaRiskForPrisoners             |    54
 #CoronavirusUSA                     |    52
 #Trump                              |    52
 #CoronavirusOutbreak                |    51
 #covid                              |    50
 #COVID19Pandemic                    |    49
 #WednesdayWisdom                    |    48
 #GlobalCeasefire                    |    47
 #CoronavirusPandemic                |    46
 #NHS                                |    45
 #Corona                             |    44
 #CoronaVirusUpdate                  |    42
 #Florida                            |    39
 #stayathome                         |    39
 #TablighiJamaat                     |    38
 #WednesdayMotivation                |    36
 #Coronavirustruth                   |    35
 #TheLockdown                        |    35
 #love                               |    34
 #Covid_19SA                         |    32
 #CNN                                |    30
 #coronavirusuk                      |    30
 #NYC                                |    30
 #StayHomeStaySafe                   |    30
 #Topbuzz                            |    30
 #TrumpVirus                         |    30
 #US                                 |    30
 #USA                                |    29
 #IndiaFightsCorona                  |    28
 #PPE                                |    28
 #News                               |    27
 #Local                              |    26
 #Pandemic                           |    26
 #Day6OfLockdown                     |    25
 #BreakingNews                       |    24
 #CoronaUpdate                       |    24
 #COVID2019                          |    24
 #flattenthecurve                    |    24
 #India                              |    24
 #SelfIsolation                      |    24
 #April2020                          |    23
 #CoronaLockdown                     |    23
 #CORONAVIRUS                        |    23
 #coronavirusindia                   |    23
 #covid19UK                          |    23
 #MAGA                               |    23
 #news                               |    23
 #BREAKING                           |    22
 #ChineseVirus                       |    21
 #CoronaUpdatesInIndia               |    21
 #NizamuddinMarkaj                   |    21
 #SocialDistanacing                  |    21
 #FakeNews                           |    20
 #health                             |    20
 #MSNBC                              |    20
 #music                              |    20
 #virus                              |    20
 #auspol                             |    19
 #CoronaJihad                        |    19
 #coronaviruskenya                   |    19
 #covıd19                            |    19
 #WuhanVirus                         |    19
 #FOXNEWS                            |    18
 #mentalhealth                       |    18
 #photography                        |    18
 #UK                                 |    18
 #Canada                             |    17
 #CoronavirusLockdown                |    17
 #COVIDIOTS                          |    17
 #PMCARES                            |    17
 #WednesdayVibes                     |    17
 #April1st                           |    16
 #Breaking                           |    16
 #Breaking_News                      |    16
 #BreakingNewsNow                    |    16
 #BreakingNewz                       |    16
 #BreakingNow                        |    16
 #coronapocolypse                    |    16
 #Lockdown                           |    16
 #quarantinelife                     |    16
 #SriLanka                           |    16
 #ventilators                        |    16
 #Health                             |    15
 #healthcare                         |    15
 #isolation                          |    15
 #Nigeriatunes                       |    15
 #SocialDistance                     |    15
 #washyourhands                      |    15
 #aprilfools                         |    14
 #ClimateChange                      |    14
 #ClimateCrisis                      |    14
 #Covid                              |    14
 #DAY6                               |    14
 #DonaldTrump                        |    14
 #Education                          |    14
 #Italy                              |    14
 #masks                              |    14
 #QuarantineAndChill                 |    14
 #TikTok                             |    14
 #Veterans                           |    14
 #VoteBlue2020                       |    14
 #1u                                 |    13
 #art                                |    13
 #ChinaVirus                         |    13
 #CoronaAlert                        |    13
 #fitness                            |    13
 #FlattenTheCurve                    |    13
 #GenX                               |    13
 #help                               |    13
 #Isolation                          |    13
 #London                             |    13
 #nyc                                |    13
 #Spain                              |    13
 #stayhealthy                        |    13
 #TrumpPressConference               |    13
 #YogaWithModi                       |    13
 #AARP                               |    12
 #Africa                             |    12
 #april                              |    12
 #CoVid19                            |    12
 #COVID_19                           |    12
 #COVID19au                          |    12
 #covid19impactke                    |    12
 #DIEalogue                          |    12
 #economy                            |    12
 #FL                                 |    12
 #FoxNews                            |    12
 #government                         |    12
 #hope                               |    12
 #ksleg                              |    12
 #LKA                                |    12
 #MeToo                              |    12
 #Millenials                         |    12
 #nhs                                |    12
 #Obamacare                          |    12
 #Russia                             |    12
 #SaveKansas                         |    12
 #TigerKing                          |    12
 #uk                                 |    12
 #video                              |    12
 #AusPol                             |    11
 #BLM                                |    11
 #CensusDay                          |    11
 #china                              |    11
 #ChinaLiedPeopleDied                |    11
 #clustertrump                       |    11
 #CoronavirusInSouthAfrica           |    11
 #Day5OfLockdown                     |    11
 #dontrushchallenge                  |    11
 #family                             |    11
 #HealthcareHeroes                   |    11
 #Heaven                             |    11
 #Hell                               |    11
 #india                              |    11
 #Indigenous                         |    11
 #KAG                                |    11
 #KungFlu                            |    11
 #Latinx                             |    11
 #Masks4All                          |    11
 #NHSheroes                          |    11
